city,lat,lon,freq,sent
London,51.5073219,-0.1276474,21,0.1507125
the British Museum,51.51929365,-0.12801772178494725,10,-0.06676000000000001
St. Paul's,51.51378715,-0.09845055141832956,6,0.07851666666666667
Hyde Park,51.5074889,-0.16223668308067218,6,-0.06791666666666667
Holborn,51.5195982,-0.1137266,4,0.06014285714285713
Neville's Court,51.5610965,-0.2350489,2,0.11785
Putney,51.4625524,-0.2167462,2,0.07253333333333335
Haverstock Hill,51.5461775,-0.1566874,2,0.07655
Shaftesbury Avenue,51.5118082,-0.1324287,2,0.0
the Foundling Hospital,51.52579805,-0.12021631329031679,2,-0.3586
Gerrard Street,51.5117787,-0.1311235,2,0.0
