city,lat,lon,freq,sent
London,51.5073219,-0.1276474,49,0.16338113207547172
England,52.5310214,-1.2649062,17,0.21316250000000003
Highgate,51.5744322,-0.1526837,17,0.15909500000000004
Strand,52.0089065,11.7003344,16,0.1470761904761905
Embankment,51.5072143,-0.1222409,12,0.0921875
Russell Square,51.5230529,-0.1242529,12,0.20638000000000004
Chelsea,51.4875167,-0.1687007,9,0.08621052631578947
India,22.3511148,78.6677428,9,0.11859333333333333
America,51.4371483,5.9799001,7,0.2502357142857143
Kingsway,43.6473811,-79.5113328,5,0.045000000000000005
Venice,45.4371908,12.3345898,5,0.39649999999999996
Hampton Court,51.4020159,-0.3425203,4,0.30918333333333337
Knightsbridge,51.5008444,-0.166965,3,0.12040000000000001
the City of London,51.5156177,-0.0919983,3,0.27823333333333333
Norfolk,52.666667,1,3,0.06880000000000001
St. Paul’s Cathedral,51.51378715,-0.09845055141832956,3,0.0
Italy,42.6384261,12.674297,2,0.17675
Southampton Row,51.5190154,-0.1209453,2,0.3465333333333333
the Tottenham Court Road,51.5162649,-0.130641,2,0.3389
Jamaica,18.1850507,-77.3947693,2,0.0258
Richmond,37.5385087,-77.43428,2,-0.07655
Blackfriars,51.5115854,-0.1037671,2,-0.23835
the National Gallery,51.50888405,-0.1283741501862351,2,0.0
Hyde Park,51.5074889,-0.16223668308067218,2,0.0
China,35.000074,104.999927,2,0.5356000000000001
the Houses of Parliament,51.499425200000005,-0.12444777279476393,2,0.1692
the Charing Cross Road,51.5130236,-0.1289825,2,0.20095
Bond Street,51.514299,-0.149002,2,0.3062
the Cromwell Road,37.345799,-86.786303,2,0.3627666666666667
South Kensington,51.4940494,-0.1730439,2,-0.23835
Australia,-24.7761086,134.755,2,0.48945
Regent’s Park,51.530202450000004,-0.1539332484783809,2,0.20095
the North of England,52.2370231,-0.4686149,2,0.0
