city,lat,lon,freq,sent
London,51.5073219,-0.1276474,47,0.14878636363636366
England,52.5310214,-1.2649062,45,-0.004595744680851061
Cambridge,52.2034823,0.1235817,18,-0.04759500000000001
Richmond,37.5385087,-77.43428,11,0.059184210526315784
India,22.3511148,78.6677428,6,-0.06787000000000001
Europe,51,10,6,-0.14735555555555555
South America,-21.0002179,-61.0006565,5,0.20105714285714285
Richmond Park,51.438511649999995,-0.2747350347565655,4,-0.0655
Lisbon,38.7077507,-9.1365919,4,-0.12592
Asia,51.2086975,89.2343748,3,-0.21989999999999998
Oxford,39.7852062,-75.9790215,3,-0.10854
Norfolk,52.666667,1,3,0.2169
Moscow,55.7504461,37.6174943,3,0.125
Africa,11.5024338,17.7578122,2,-0.35246666666666665
Spain,39.3260685,-4.8379791,2,-0.15445
Leeds,53.7974185,-1.5437941,2,0.3243
South Kensington,51.4940494,-0.1730439,2,0.3463
Greece,38.9953683,21.9877132,2,0.0
Holland,52.5001698,5.7480821,2,-0.26275
Wiltshire,51.324162,-1.9032486699002247,2,0.1978333333333333
Ireland,52.865196,-7.9794599,2,-0.35015
Walworth,45.4043853,-100.0072972,2,0.50065
Devonshire,50.724165,-3.660795843955193,2,0.31245
